KJD,  KJD - T_EXP,   KJD - T_MAX,   LC_val-BCK ,   LC_err
964.86764,-29.89676,-48.95236, 0.00231, 0.00177
965.35805,-29.40635,-48.46195, 0.00311, 0.00179
965.84845,-28.91595,-47.97155, 0.00458, 0.00202
966.33885,-28.42555,-47.48115, 0.01155, 0.00217
966.84968,-27.91472,-46.97032, 0.01166, 0.00213
967.34008,-27.42432,-46.47992, 0.00566, 0.00206
967.83048,-26.93392,-45.98952, 0.01150, 0.00139
968.32088,-26.44352,-45.49912, 0.01098, 0.00228
968.81128,-25.95312,-45.00872, 0.01062, 0.00226
970.13945,-24.62495,-43.68055, 0.02270, 0.00300
970.62984,-24.13456,-43.19016, 0.02337, 0.00183
971.12024,-23.64416,-42.69976, 0.01556, 0.00185
971.61064,-23.15376,-42.20936, 0.01173, 0.00167
972.12147,-22.64293,-41.69853, 0.01099, 0.00177
972.61187,-22.15253,-41.20813, 0.00947, 0.00181
973.10227,-21.66213,-40.71773, 0.00925, 0.00211
973.59267,-21.17173,-40.22733, 0.01268, 0.00264
974.08306,-20.68134,-39.73694, 0.01614, 0.00195
974.57346,-20.19094,-39.24654,-0.00022, 0.00144
975.08429,-19.68011,-38.73571, 0.00309, 0.00305
975.59512,-19.16928,-38.22488, 0.00311, 0.00187
976.08552,-18.67888,-37.73448, 0.00501, 0.00155
976.57592,-18.18848,-37.24408, 0.00407, 0.00205
977.06631,-17.69809,-36.75369, 0.01164, 0.00252
977.55671,-17.20769,-36.26329, 0.00830, 0.00138
978.06754,-16.69686,-35.75246, 0.00332, 0.00161
978.55793,-16.20647,-35.26207, 0.00005, 0.00199
979.04833,-15.71607,-34.77167, 0.00773, 0.00375
979.53873,-15.22567,-34.28127, 0.00932, 0.00166
980.02912,-14.73528,-33.79088,-0.00027, 0.00217
980.51952,-14.24488,-33.30048, 0.00406, 0.00205
981.03035,-13.73405,-32.78965, 0.00291, 0.00126
981.52074,-13.24366,-32.29926, 0.00278, 0.00179
982.01113,-12.75327,-31.80887, 0.00847, 0.00197
982.50153,-12.26287,-31.31847, 0.00959, 0.00197
982.99192,-11.77248,-30.82808, 0.00606, 0.00160
983.50275,-11.26165,-30.31725, 0.00528, 0.00129
984.01358,-10.75082,-29.80642, 0.00545, 0.00204
984.50397,-10.26043,-29.31603, 0.00616, 0.00221
984.99437, -9.77003,-28.82563, 0.00498, 0.00151
985.48476, -9.27964,-28.33524, 0.00625, 0.00234
985.97515, -8.78925,-27.84485, 0.00560, 0.00180
986.46555, -8.29885,-27.35445, 0.00566, 0.00208
986.97637, -7.78803,-26.84363, 0.00331, 0.00207
987.46676, -7.29764,-26.35324, 0.00201, 0.00228
987.95716, -6.80724,-25.86284, 0.00260, 0.00265
988.44755, -6.31685,-25.37245, 0.00511, 0.00184
988.93794, -5.82646,-24.88206, 0.00774, 0.00262
989.42833, -5.33607,-24.39167, 0.00265, 0.00160
989.93916, -4.82524,-23.88084,-0.00006, 0.00185
990.42955, -4.33485,-23.39045, 0.00716, 0.00144
990.91994, -3.84446,-22.90006, 0.00530, 0.00225
991.41033, -3.35407,-22.40967, 0.00605, 0.00174
991.90072, -2.86368,-21.91928, 0.00633, 0.00201
992.39112, -2.37328,-21.42888, 0.00426, 0.00152
992.90194, -1.86246,-20.91806, 0.00740, 0.00191
993.39233, -1.37207,-20.42767, 0.00484, 0.00155
993.88272, -0.88168,-19.93728, 0.00356, 0.00209
994.37311, -0.39129,-19.44689, 0.00443, 0.00166
994.86350,  0.09910,-18.95650, 0.00562, 0.00224
995.35389,  0.58949,-18.46611, 0.00496, 0.00273
995.85450,  1.09010,-17.96550, 0.00867, 0.00273
996.35511,  1.59071,-17.46489, 0.01154, 0.00177
996.84549,  2.08109,-16.97451, 0.01519, 0.00206
997.33588,  2.57148,-16.48412, 0.02506, 0.00175
997.82627,  3.06187,-15.99373, 0.03063, 0.00142
998.31666,  3.55226,-15.50334, 0.04586, 0.00238
998.80705,  4.04265,-15.01295, 0.06391, 0.00192
999.33831,  4.57391,-14.48169, 0.07642, 0.00214
999.82870,  5.06430,-13.99130, 0.10197, 0.00191
1001.23854,  6.47414,-12.58146, 0.18785, 0.00207
1001.72893,  6.96453,-12.09107, 0.21808, 0.00262
1002.21932,  7.45492,-11.60068, 0.25996, 0.00237
1002.70970,  7.94530,-11.11030, 0.30212, 0.00241
1003.20009,  8.43569,-10.61991, 0.35009, 0.00214
1003.71091,  8.94651,-10.10909, 0.41087, 0.00168
1004.20130,  9.43690, -9.61870, 0.45073, 0.00261
1004.69169,  9.92729, -9.12831, 0.50089, 0.00226
1005.18207, 10.41767, -8.63793, 0.54179, 0.00229
1005.67246, 10.90806, -8.14754, 0.59696, 0.00284
1006.16285, 11.39845, -7.65715, 0.64504, 0.00210
1006.67367, 11.90927, -7.14633, 0.69203, 0.00280
1007.16406, 12.39966, -6.65594, 0.73636, 0.00247
1007.65444, 12.89004, -6.16556, 0.78536, 0.00266
1008.14483, 13.38043, -5.67517, 0.81243, 0.00317
1008.63522, 13.87082, -5.18478, 0.84500, 0.00276
1009.12560, 14.36120, -4.69440, 0.87989, 0.00229
1009.63642, 14.87202, -4.18358, 0.91046, 0.00199
1010.12681, 15.36241, -3.69319, 0.93292, 0.00193
1010.63762, 15.87322, -3.18238, 0.95172, 0.00188
1011.12801, 16.36361, -2.69199, 0.96177, 0.00249
1011.61840, 16.85400, -2.20160, 0.98117, 0.00212
1012.10878, 17.34438, -1.71122, 0.99347, 0.00225
1012.61960, 17.85520, -1.20040, 0.99231, 0.00280
1013.10999, 18.34559, -0.71001, 0.99778, 0.00219
1013.60037, 18.83597, -0.21963, 0.99522, 0.00218
1014.09076, 19.32636,  0.27076, 1.00213, 0.00255
1014.58114, 19.81674,  0.76114, 1.00231, 0.00314
1015.07153, 20.30713,  1.25153, 1.00131, 0.00173
1015.58234, 20.81794,  1.76234, 0.99561, 0.00230
1016.07273, 21.30833,  2.25273, 0.98921, 0.00160
1016.56311, 21.79871,  2.74311, 0.98257, 0.00295
1017.05350, 22.28910,  3.23350, 0.96525, 0.00239
1017.54388, 22.77948,  3.72388, 0.95319, 0.00217
1018.03427, 23.26987,  4.21427, 0.94367, 0.00267
1018.54508, 23.78068,  4.72508, 0.92994, 0.00294
1019.03547, 24.27107,  5.21547, 0.91130, 0.00283
1019.54628, 24.78188,  5.72628, 0.88429, 0.00290
1020.03667, 25.27227,  6.21667, 0.86658, 0.00217
1020.52705, 25.76265,  6.70705, 0.83683, 0.00166
1021.01743, 26.25303,  7.19743, 0.81890, 0.00183
1021.52825, 26.76385,  7.70825, 0.79411, 0.00166
1022.01863, 27.25423,  8.19863, 0.76590, 0.00201
1022.50902, 27.74462,  8.68902, 0.73945, 0.00217
1022.99940, 28.23500,  9.17940, 0.71535, 0.00260
1023.48978, 28.72538,  9.66978, 0.68853, 0.00249
1023.98017, 29.21577, 10.16017, 0.66611, 0.00188
1024.49098, 29.72658, 10.67098, 0.64206, 0.00162
1024.98137, 30.21697, 11.16137, 0.61913, 0.00196
1025.47175, 30.70735, 11.65175, 0.59637, 0.00151
1025.96213, 31.19773, 12.14213, 0.58463, 0.00193
1026.45251, 31.68811, 12.63251, 0.57010, 0.00225
1026.94290, 32.17850, 13.12290, 0.55274, 0.00274
1027.45371, 32.68931, 13.63371, 0.54552, 0.00263
1027.94409, 33.17969, 14.12409, 0.52567, 0.00178
1028.47534, 33.71094, 14.65534, 0.51406, 0.00184
1028.96572, 34.20132, 15.14572, 0.50572, 0.00232
1029.45611, 34.69171, 15.63611, 0.48571, 0.00234
1029.94649, 35.18209, 16.12649, 0.48800, 0.00162
1030.45730, 35.69290, 16.63730, 0.47809, 0.00236
1030.94769, 36.18329, 17.12769, 0.47042, 0.00228
1031.43807, 36.67367, 17.61807, 0.46060, 0.00296
1031.92845, 37.16405, 18.10845, 0.45364, 0.00230
1033.19527, 38.43087, 19.37527, 0.44047, 0.00217
1033.68565, 38.92125, 19.86565, 0.43312, 0.00258
1034.19647, 39.43207, 20.37647, 0.42353, 0.00181
1034.68685, 39.92245, 20.86685, 0.42624, 0.00218
1035.17723, 40.41283, 21.35723, 0.41764, 0.00199
1035.68804, 40.92364, 21.86804, 0.41003, 0.00236
1036.17843, 41.41403, 22.35843, 0.40118, 0.00189
1036.66881, 41.90441, 22.84881, 0.39914, 0.00314
1037.15919, 42.39479, 23.33919, 0.39452, 0.00229
1037.67000, 42.90560, 23.85000, 0.38595, 0.00187
1038.16038, 43.39598, 24.34038, 0.38170, 0.00217
1038.67120, 43.90680, 24.85120, 0.37853, 0.00319
1039.16158, 44.39718, 25.34158, 0.36699, 0.00251
1039.65196, 44.88756, 25.83196, 0.36196, 0.00228
1040.14234, 45.37794, 26.32234, 0.34911, 0.00151
1040.63272, 45.86832, 26.81272, 0.34676, 0.00216
1041.12311, 46.35871, 27.30311, 0.33631, 0.00215
1041.63392, 46.86952, 27.81392, 0.32477, 0.00238
1042.12430, 47.35990, 28.30430, 0.31333, 0.00224
1042.61468, 47.85028, 28.79468, 0.30962, 0.00169
1043.10506, 48.34066, 29.28506, 0.29735, 0.00157
1043.59545, 48.83105, 29.77545, 0.28123, 0.00129
1044.08583, 49.32143, 30.26583, 0.27339, 0.00199
1044.59664, 49.83224, 30.77664, 0.26212, 0.00145
1045.08702, 50.32262, 31.26702, 0.24752, 0.00188
1045.57740, 50.81300, 31.75740, 0.24311, 0.00205
1046.06778, 51.30338, 32.24778, 0.24024, 0.00224
1046.55817, 51.79377, 32.73817, 0.23101, 0.00214
1047.04855, 52.28415, 33.22855, 0.22902, 0.00251
1047.55936, 52.79496, 33.73936, 0.21485, 0.00275
1048.04974, 53.28534, 34.22974, 0.21024, 0.00189
1048.54012, 53.77572, 34.72012, 0.20619, 0.00232
1049.03050, 54.26610, 35.21050, 0.20182, 0.00287
1049.52089, 54.75649, 35.70089, 0.19635, 0.00180
1050.01127, 55.24687, 36.19127, 0.19472, 0.00228
1050.52208, 55.75768, 36.70208, 0.18967, 0.00217
1051.01246, 56.24806, 37.19246, 0.18622, 0.00209
1051.50284, 56.73844, 37.68284, 0.18589, 0.00227
1051.99322, 57.22882, 38.17322, 0.18350, 0.00211
1052.48361, 57.71921, 38.66361, 0.17156, 0.00239
