KJD   KJD-T_EXP   KJD-T_MAX   LC_val-BCK    LC_err
 1042.99285     -29.98005     -52.92115     -0.17718      0.13223
 1043.01329     -29.95961     -52.90071     -0.13916      0.12159
 1043.03372     -29.93918     -52.88028     -0.01626      0.11868
 1043.05415     -29.91875     -52.85985     -0.01689      0.11788
 1043.07458     -29.89832     -52.83942     -0.12249      0.11568
 1043.09502     -29.87788     -52.81898      0.25390      0.13004
 1043.11545     -29.85745     -52.79855     -0.11627      0.11687
 1043.13588     -29.83702     -52.77812      0.04581      0.11680
 1043.15632     -29.81658     -52.75768      0.16050      0.12268
 1043.17675     -29.79615     -52.73725     -0.40000      0.12378
 1043.19718     -29.77572     -52.71682     -0.28962      0.11922
 1043.21761     -29.75529     -52.69639     -0.15434      0.13141
 1043.23805     -29.73485     -52.67595      0.00475      0.11863
 1043.25848     -29.71442     -52.65552      0.09057      0.11915
 1043.27891     -29.69399     -52.63509      0.06959      0.12132
 1043.29934     -29.67356     -52.61466      0.03046      0.12654
 1043.31978     -29.65312     -52.59422     -0.00026      0.11863
 1043.34021     -29.63269     -52.57379      0.23308      0.11913
 1043.36064     -29.61226     -52.55336      0.07242      0.11940
 1043.38108     -29.59182     -52.53292      0.03742      0.11628
 1043.40151     -29.57139     -52.51249      0.00688      0.11719
 1043.42194     -29.55096     -52.49206      0.03544      0.12089
 1043.44237     -29.53053     -52.47163     -0.17441      0.12200
 1043.46281     -29.51009     -52.45119     -0.03896      0.11656
 1043.48324     -29.48966     -52.43076     -0.00510      0.11986
 1043.50367     -29.46923     -52.41033      0.27279      0.12509
 1043.52410     -29.44880     -52.38990     -0.08366      0.12373
 1043.54454     -29.42836     -52.36946      0.08348      0.11834
 1043.56497     -29.40793     -52.34903      0.26537      0.11787
 1043.58540     -29.38750     -52.32860      0.34870      0.14257
 1043.60584     -29.36706     -52.30816      0.00047      0.12059
 1043.62627     -29.34663     -52.28773      0.00142      0.12602
 1043.64670     -29.32620     -52.26730      0.01891      0.11762
 1043.66713     -29.30577     -52.24687      0.06973      0.11584
 1043.68757     -29.28533     -52.22643      0.06145      0.12912
 1043.70800     -29.26490     -52.20600     -0.01308      0.12142
 1043.72843     -29.24447     -52.18557      0.01700      0.11580
 1043.74886     -29.22404     -52.16514     -0.04060      0.11644
 1043.76930     -29.20360     -52.14470     -0.00241      0.12079
 1043.78973     -29.18317     -52.12427      0.02021      0.11986
 1043.81016     -29.16274     -52.10384     -0.21825      0.12381
 1043.83060     -29.14230     -52.08340     -0.13078      0.11688
 1043.85103     -29.12187     -52.06297      0.00670      0.11751
 1043.87146     -29.10144     -52.04254     -0.17354      0.11853
 1043.89189     -29.08101     -52.02211      0.07128      0.11642
 1043.91233     -29.06057     -52.00167     -0.07450      0.11752
 1043.93276     -29.04014     -51.98124      0.04111      0.11760
 1043.95319     -29.01971     -51.96081      0.15452      0.12010
 1043.97362     -28.99928     -51.94038      0.07561      0.11801
 1043.99406     -28.97884     -51.91994      0.07335      0.12675
 1044.01449     -28.95841     -51.89951      0.12342      0.11801
 1044.03492     -28.93798     -51.87908     -0.07293      0.11701
 1044.05536     -28.91754     -51.85864      0.03783      0.11584
 1044.07579     -28.89711     -51.83821     -0.01639      0.11794
 1044.09622     -28.87668     -51.81778      0.01418      0.12969
 1044.11665     -28.85625     -51.79735     -0.00860      0.11630
 1044.13709     -28.83581     -51.77691     -0.09163      0.11719
 1044.15752     -28.81538     -51.75648      0.01780      0.11622
 1044.17795     -28.79495     -51.73605     -0.24252      0.12107
 1044.19838     -28.77452     -51.71562     -0.23372      0.11639
 1044.21882     -28.75408     -51.69518     -0.24726      0.13924
 1044.25968     -28.71322     -51.65432     -0.10158      0.12425
 1044.28011     -28.69279     -51.63389     -0.04985      0.11675
 1044.30055     -28.67235     -51.61345      0.06991      0.13487
 1044.32098     -28.65192     -51.59302      0.05511      0.12524
