KJD  KJD-T_EXP   KJD-T_MAX   LC_val-BCK    LC_err
  964.77569     -29.98871     -49.04431      0.01157      0.01011
  964.79613     -29.96827     -49.02387      0.00186      0.01027
  964.81656     -29.94784     -49.00344     -0.00355      0.01065
  964.83699     -29.92741     -48.98301     -0.00459      0.00976
  964.85743     -29.90697     -48.96257      0.00710      0.01097
  964.87786     -29.88654     -48.94214      0.01335      0.01119
  964.89829     -29.86611     -48.92171     -0.00103      0.00982
  964.91873     -29.84567     -48.90127     -0.00460      0.00995
  964.93916     -29.82524     -48.88084      0.00467      0.01016
  964.95959     -29.80481     -48.86041      0.00514      0.01014
  964.98003     -29.78437     -48.83997     -0.00745      0.01034
  965.00046     -29.76394     -48.81954     -0.01240      0.00980
  965.02089     -29.74351     -48.79911     -0.00732      0.01071
  965.04133     -29.72307     -48.77867      0.02211      0.01098
  965.06176     -29.70264     -48.75824      0.00540      0.01084
  965.08219     -29.68221     -48.73781     -0.00736      0.01028
  965.10263     -29.66177     -48.71737      0.00558      0.00997
  965.12306     -29.64134     -48.69694      0.01073      0.01080
  965.14349     -29.62091     -48.67651      0.01504      0.01032
  965.16393     -29.60047     -48.65607      0.00872      0.01000
  965.18436     -29.58004     -48.63564      0.01574      0.01078
  965.20479     -29.55961     -48.61521      0.00545      0.01056
  965.22523     -29.53917     -48.59477      0.00279      0.01219
  965.24566     -29.51874     -48.57434      0.01413      0.01050
  965.26609     -29.49831     -48.55391     -0.00660      0.00974
  965.28653     -29.47787     -48.53347     -0.00393      0.01049
  965.30696     -29.45744     -48.51304      0.00432      0.01088
  965.32740     -29.43700     -48.49260      0.01282      0.01053
  965.34783     -29.41657     -48.47217     -0.00928      0.01080
  965.36826     -29.39614     -48.45174     -0.00505      0.00983
  965.38870     -29.37570     -48.43130      0.01512      0.01005
  965.40913     -29.35527     -48.41087      0.00338      0.01183
  965.42956     -29.33484     -48.39044     -0.00319      0.00978
  965.45000     -29.31440     -48.37000     -0.00785      0.01000
  965.47043     -29.29397     -48.34957      0.00181      0.01011
  965.49086     -29.27354     -48.32914      0.00434      0.00980
  965.51130     -29.25310     -48.30870      0.00047      0.01046
  965.53173     -29.23267     -48.28827      0.00475      0.00976
  965.55216     -29.21224     -48.26784     -0.00907      0.01046
  965.57260     -29.19180     -48.24740     -0.01203      0.00995
  965.59303     -29.17137     -48.22697     -0.00555      0.01021
  965.61346     -29.15094     -48.20654     -0.00193      0.01024
  965.63390     -29.13050     -48.18610      0.00224      0.01112
  965.65433     -29.11007     -48.16567     -0.00753      0.01111
  965.67476     -29.08964     -48.14524     -0.00283      0.01110
  965.69520     -29.06920     -48.12480      0.00767      0.01040
  965.71563     -29.04877     -48.10437      0.00294      0.01008
  965.73606     -29.02834     -48.08394      0.01820      0.01089
  965.75650     -29.00790     -48.06350      0.00918      0.01223
  965.77693     -28.98747     -48.04307      0.00531      0.00999
  965.79736     -28.96704     -48.02264      0.00317      0.00999
  965.81780     -28.94660     -48.00220      0.02535      0.01145
  965.83823     -28.92617     -47.98177      0.00373      0.01006
  965.85866     -28.90574     -47.96134     -0.01028      0.01308
  965.87910     -28.88530     -47.94090      0.01178      0.01129
  965.89953     -28.86487     -47.92047     -0.00678      0.01129
  965.91996     -28.84444     -47.90004      0.01230      0.01143
  965.94040     -28.82400     -47.87960     -0.00286      0.00984
  965.96083     -28.80357     -47.85917      0.01067      0.01015
  965.98126     -28.78314     -47.83874      0.01390      0.01029
  966.00170     -28.76270     -47.81830      0.01836      0.01061
  966.02213     -28.74227     -47.79787      0.00112      0.01022
  966.04256     -28.72184     -47.77744      0.01071      0.01162
  966.06300     -28.70140     -47.75700      0.02220      0.01021
  966.08343     -28.68097     -47.73657     -0.00957      0.01038
  966.10386     -28.66054     -47.71614      0.01115      0.00983
  966.12430     -28.64010     -47.69570      0.00786      0.01072
  966.14473     -28.61967     -47.67527      0.00964      0.01012
  966.16516     -28.59924     -47.65484      0.01218      0.01053
  966.18560     -28.57880     -47.63440     -0.00040      0.01002
  966.20603     -28.55837     -47.61397     -0.02262      0.01022
  966.22646     -28.53794     -47.59354      0.01675      0.01079
  966.24690     -28.51750     -47.57310      0.01616      0.01083
  966.26733     -28.49707     -47.55267     -0.00667      0.01026
  966.28776     -28.47664     -47.53224      0.00878      0.01179
  966.30820     -28.45620     -47.51180      0.01735      0.01002
  966.32863     -28.43577     -47.49137     -0.00159      0.00990
  966.34906     -28.41534     -47.47094      0.00780      0.01051
  966.36950     -28.39490     -47.45050      0.03642      0.01125
  966.38993     -28.37447     -47.43007     -0.00106      0.00991
  966.41036     -28.35404     -47.40964      0.01426      0.01087
  966.43080     -28.33360     -47.38920      0.01675      0.00989
  966.45123     -28.31317     -47.36877     -0.00205      0.01014
  966.47166     -28.29274     -47.34834      0.01191      0.01069
  966.49210     -28.27230     -47.32790      0.02787      0.00991
  966.51253     -28.25187     -47.30747      0.00660      0.01024
  966.53296     -28.23144     -47.28704      0.01461      0.01133
  966.55340     -28.21100     -47.26660     -0.00486      0.00992
  966.57383     -28.19057     -47.24617      0.02078      0.01016
  966.59426     -28.17014     -47.22574      0.00711      0.01012
  966.61470     -28.14970     -47.20530      0.01669      0.01015
  966.63513     -28.12927     -47.18487      0.02101      0.01092
  966.65556     -28.10884     -47.16444      0.00862      0.00987
  966.67600     -28.08840     -47.14400      0.01140      0.01218
  966.69643     -28.06797     -47.12357      0.01129      0.01019
  966.71686     -28.04754     -47.10314      0.00939      0.00991
  966.73730     -28.02710     -47.08270     -0.00507      0.01002
  966.75773     -28.00667     -47.06227      0.02617      0.01170
  966.77816     -27.98624     -47.04184      0.00947      0.00996
  966.79860     -27.96580     -47.02140      0.00658      0.01009
  966.83946     -27.92494     -46.98054     -0.00993      0.01007
  966.85990     -27.90450     -46.96010      0.01427      0.00991
  966.88033     -27.88407     -46.93967      0.00061      0.01005
  966.90076     -27.86364     -46.91924      0.01189      0.01090
  966.92120     -27.84320     -46.89880      0.01585      0.01118
  966.94163     -27.82277     -46.87837      0.01667      0.01285
