 KJD,  KJD - T_EXP,   KJD - T_MAX,   LC_val-BCK, LC_err
 1297.54615, -29.57145, -46.61985, -0.00251,  0.00402
 1298.03656, -29.08104, -46.12944, -0.01125,  0.00398
 1298.54741, -28.57019, -45.61859, -0.01305,  0.00371
 1299.03783, -28.07977, -45.12817, -0.00918,  0.00440
 1299.52825, -27.58935, -44.63775,  0.00008,  0.00508
 1300.01866, -27.09894, -44.14734, -0.00467,  0.00453
 1300.50908, -26.60852, -43.65692,  0.00056,  0.00562
 1300.99950, -26.11810, -43.16650, -0.01570,  0.00551
 1301.51035, -25.60725, -42.65565, -0.00764,  0.00360
 1302.00076, -25.11684, -42.16524, -0.00962,  0.00472
 1302.49118, -24.62642, -41.67482, -0.00321,  0.00479
 1302.98160, -24.13600, -41.18440,  0.00134,  0.00394
 1303.47201, -23.64559, -40.69399,  0.00008,  0.00274
 1303.96243, -23.15517, -40.20357, -0.00232,  0.00390
 1304.47328, -22.64432, -39.69272, -0.00068,  0.00339
 1304.96369, -22.15391, -39.20231, -0.00718,  0.00432
 1306.59841, -20.51919, -37.56759, -0.00126,  0.00305
 1307.08883, -20.02877, -37.07717, -0.00913,  0.00486
 1307.57924, -19.53836, -36.58676,  0.00065,  0.00520
 1308.09009, -19.02751, -36.07591, -0.01062,  0.00396
 1308.58050, -18.53710, -35.58550,  0.00471,  0.00494
 1309.07092, -18.04668, -35.09508, -0.00084,  0.00334
 1309.56133, -17.55627, -34.60467,  0.00624,  0.00439
 1310.05175, -17.06585, -34.11425, -0.00191,  0.00412
 1310.54216, -16.57544, -33.62384, -0.00002,  0.00545
 1311.05301, -16.06459, -33.11299,  0.00381,  0.00377
 1311.54342, -15.57418, -32.62258, -0.00321,  0.00369
 1312.03383, -15.08377, -32.13217, -0.00273,  0.00417
 1312.52425, -14.59335, -31.64175, -0.00429,  0.00344
 1313.01466, -14.10294, -31.15134, -0.00516,  0.00497
 1313.50507, -13.61253, -30.66093,  0.00693,  0.00486
 1314.01592, -13.10168, -30.15008,  0.00266,  0.00395
 1314.50633, -12.61127, -29.65967, -0.00475,  0.00331
 1314.99675, -12.12085, -29.16925,  0.00762,  0.00259
 1315.48716, -11.63044, -28.67884,  0.00425,  0.00579
 1315.97757, -11.14003, -28.18843,  0.00630,  0.00364
 1316.46798, -10.64962, -27.69802,  0.00038,  0.00377
 1316.96861, -10.14899, -27.19739, -0.00029,  0.00465
 1317.46924,  -9.64836, -26.69676, -0.00911,  0.00346
 1317.95965,  -9.15795, -26.20635,  0.00496,  0.00366
 1318.45006,  -8.66754, -25.71594, -0.00211,  0.00439
 1318.94047,  -8.17713, -25.22553,  0.00116,  0.00359
 1319.43088,  -7.68672, -24.73512, -0.00113,  0.00359
 1319.92130,  -7.19630, -24.24470,  0.01540,  0.00452
 1320.43214,  -6.68546, -23.73386, -0.00513,  0.00394
 1320.92255,  -6.19505, -23.24345,  0.00555,  0.00530
 1321.41296,  -5.70464, -22.75304,  0.00078,  0.00296
 1321.90337,  -5.21423, -22.26263,  0.00108,  0.00330
 1322.39378,  -4.72382, -21.77222,  0.00066,  0.00372
 1322.88419,  -4.23341, -21.28181,  0.00428,  0.00430
 1323.39504,  -3.72256, -20.77096,  0.00876,  0.00328
 1323.88544,  -3.23216, -20.28056, -0.00219,  0.00498
 1324.37585,  -2.74175, -19.79015, -0.00442,  0.00466
 1324.86626,  -2.25134, -19.29974, -0.01058,  0.00349
 1325.35667,  -1.76093, -18.80933, -0.00350,  0.00252
 1325.84708,  -1.27052, -18.31892, -0.00263,  0.00541
 1326.35792,  -0.75968, -17.80808,  0.00629,  0.00374
 1326.84833,  -0.26927, -17.31767, -0.00167,  0.00481
 1327.33874,   0.22114, -16.82726,  0.00341,  0.00269
 1327.82915,   0.71155, -16.33685,  0.00627,  0.00379
 1328.31956,   1.20196, -15.84644,  0.01033,  0.00315
 1328.80997,   1.69237, -15.35603,  0.01185,  0.00386
 1329.32081,   2.20321, -14.84519,  0.03119,  0.00437
 1329.81122,   2.69362, -14.35478,  0.04535,  0.00443
 1330.30162,   3.18402, -13.86438,  0.05766,  0.00437
 1330.79203,   3.67443, -13.37397,  0.08806,  0.00407
 1331.28244,   4.16484, -12.88356,  0.11347,  0.00450
 1331.77285,   4.65525, -12.39315,  0.13386,  0.00394
 1332.28369,   5.16609, -11.88231,  0.16130,  0.00380
 1332.77409,   5.65649, -11.39191,  0.20094,  0.00427
 1333.26450,   6.14690, -10.90150,  0.24042,  0.00514
 1333.75491,   6.63731, -10.41109,  0.28925,  0.00405
 1334.24531,   7.12771,  -9.92069,  0.32467,  0.00383
 1334.73572,   7.61812,  -9.43028,  0.37314,  0.00469
 1335.24656,   8.12896,  -8.91944,  0.43941,  0.00412
 1335.73697,   8.61937,  -8.42903,  0.48700,  0.00486
 1336.22737,   9.10977,  -7.93863,  0.54549,  0.00482
 1337.57599,  10.45839,  -6.59001,  0.69341,  0.00535
 1338.06639,  10.94879,  -6.09961,  0.73531,  0.00587
 1338.55680,  11.43920,  -5.60920,  0.78203,  0.00355
 1339.04720,  11.92960,  -5.11880,  0.82158,  0.00305
 1339.55804,  12.44044,  -4.60796,  0.85272,  0.00443
 1340.04844,  12.93084,  -4.11756,  0.89073,  0.00456
 1340.53885,  13.42125,  -3.62715,  0.92340,  0.00399
 1341.02925,  13.91165,  -3.13675,  0.93860,  0.00379
