KJD,    KJD - T_EXP,   KJD - T_MAX,   LC_val-BCK,    LC_err
1043.10523,-29.86767,-52.80877,-0.04395, 0.03145
 1043.59562,-29.37728,-52.31838, 0.00384, 0.02307
 1044.08600,-28.88690,-51.82800,-0.00223, 0.02396
 1044.59682,-28.37608,-51.31718,-0.06479, 0.02382
 1045.08721,-27.88569,-50.82679,-0.07840, 0.02248
 1045.57759,-27.39531,-50.33641,-0.00023, 0.03059
 1046.06798,-26.90492,-49.84602,-0.06037, 0.03706
 1046.55836,-26.41454,-49.35564, 0.01962, 0.02159
 1047.04875,-25.92415,-48.86525, 0.04034, 0.01708
 1047.55957,-25.41333,-48.35443,-0.01788, 0.02229
 1048.04995,-24.92295,-47.86405,-0.04984, 0.02423
 1048.54034,-24.43256,-47.37366, 0.03415, 0.02011
 1049.03072,-23.94218,-46.88328,-0.00852, 0.02275
 1049.52111,-23.45179,-46.39289,-0.03457, 0.02198
 1050.01149,-22.96141,-45.90251,-0.05142, 0.01967
 1050.52231,-22.45059,-45.39169,-0.10149, 0.01762
 1051.01269,-21.96021,-44.90131,-0.10676, 0.02178
 1051.50308,-21.46982,-44.41092,-0.05014, 0.01711
 1051.99346,-20.97944,-43.92054, 0.01769, 0.01792
 1052.48385,-20.48905,-43.43015,-0.05296, 0.01683
 1052.97423,-19.99867,-42.93977, 0.00818, 0.02083
 1053.48505,-19.48785,-42.42895,-0.01020, 0.02188
 1053.97544,-18.99746,-41.93856,-0.05228, 0.01825
 1054.46582,-18.50708,-41.44818,-0.01847, 0.01451
 1054.95621,-18.01669,-40.95779,-0.10489, 0.02056
 1055.44659,-17.52631,-40.46741,-0.05754, 0.02383
 1055.93698,-17.03592,-39.97702,-0.07006, 0.01968
 1056.46823,-16.50467,-39.44577,-0.00771, 0.01711
 1056.95861,-16.01429,-38.95539, 0.00087, 0.02863
 1057.44900,-15.52390,-38.46500, 0.00645, 0.02227
 1057.93938,-15.03352,-37.97462,-0.04879, 0.02107
 1058.42977,-14.54313,-37.48423,-0.01042, 0.02135
 1058.92015,-14.05275,-36.99385,-0.08359, 0.01993
 1059.43097,-13.54193,-36.48303, 0.03375, 0.02521
 1059.92135,-13.05155,-35.99265,-0.02800, 0.02324
