MJD  counts  counts_err  time_from_peak  norm_flux  norm_flux_err
 59473.709 -1.268E+01 1.414E+01   -25.021 -9.857E-03 1.100E-02
 59473.873 -1.929E+00 9.592E+00   -24.857 -1.500E-03 7.460E-03
 59474.123  1.992E+01 1.090E+01   -24.607  1.549E-02 8.476E-03
 59474.373  1.332E+01 1.018E+01   -24.357  1.036E-02 7.920E-03
 59474.623  6.271E+00 9.900E+00   -24.107  4.876E-03 7.699E-03
 59474.875 -1.564E+00 1.007E+01   -23.855 -1.216E-03 7.829E-03
 59475.123 -6.762E+00 1.072E+01   -23.607 -5.259E-03 8.333E-03
 59475.373  7.748E+00 8.005E+00   -23.357  6.026E-03 6.225E-03
 59475.623 -6.599E+00 8.377E+00   -23.107 -5.132E-03 6.515E-03
 59475.873 -8.028E+00 8.088E+00   -22.857 -6.243E-03 6.290E-03
 59476.123  5.876E+00 1.018E+01   -22.607  4.569E-03 7.919E-03
 59476.373  1.411E+01 1.005E+01   -22.357  1.097E-02 7.816E-03
 59476.623  2.524E+01 9.052E+00   -22.107  1.963E-02 7.040E-03
 59476.873  3.345E+01 1.079E+01   -21.857  2.601E-02 8.389E-03
 59477.123  5.067E+01 9.411E+00   -21.607  3.941E-02 7.318E-03
 59477.373  1.813E+01 9.387E+00   -21.357  1.410E-02 7.300E-03
 59477.611  3.122E+01 1.038E+01   -21.119  2.428E-02 8.070E-03
 59477.873  1.792E+01 6.355E+00   -20.857  1.393E-02 4.942E-03
 59478.123  2.652E+01 8.832E+00   -20.607  2.062E-02 6.868E-03
 59478.373  2.957E+01 8.670E+00   -20.357  2.300E-02 6.742E-03
 59478.623  2.560E+01 9.618E+00   -20.107  1.991E-02 7.479E-03
 59478.873  4.112E+01 9.450E+00   -19.857  3.198E-02 7.349E-03
 59479.123  4.626E+01 8.418E+00   -19.607  3.598E-02 6.547E-03
 59479.373  7.029E+01 1.177E+01   -19.357  5.466E-02 9.149E-03
 59479.623  9.099E+01 8.933E+00   -19.107  7.076E-02 6.947E-03
 59479.873  1.036E+02 8.911E+00   -18.857  8.058E-02 6.930E-03
 59480.123  1.161E+02 8.833E+00   -18.607  9.026E-02 6.869E-03
 59480.373  1.375E+02 1.091E+01   -18.357  1.069E-01 8.487E-03
 59480.623  1.654E+02 7.232E+00   -18.107  1.286E-01 5.624E-03
 59480.873  1.870E+02 1.041E+01   -17.857  1.454E-01 8.095E-03
