#
# File created by Rob Olling on: Thu Mar 12 02:03:53 2015
#
# The lightcurve for KSN-2012a binned to   1 point, or 0.020 days
#
# Listed times are the median values of the group of   1 (after outlier rejection)
#
# Times are in observed frame
#
# KJD           KJD - T_EXP   KJD - T_MAX   LC_val-BCK    LC_err
 1297.12725     -29.99035     -47.03875      0.01411      0.02101
 1297.14768     -29.96992     -47.01832     -0.02394      0.02735
 1297.16812     -29.94948     -46.99788      0.00374      0.02127
 1297.18855     -29.92905     -46.97745     -0.03808      0.02246
 1297.20898     -29.90862     -46.95702     -0.00180      0.02095
 1297.22942     -29.88818     -46.93658     -0.01220      0.02113
 1297.24985     -29.86775     -46.91615      0.01697      0.02249
 1297.27029     -29.84731     -46.89571     -0.01168      0.02110
 1297.29072     -29.82688     -46.87528      0.00332      0.02099
 1297.31115     -29.80645     -46.85485      0.00292      0.02133
 1297.33159     -29.78601     -46.83441      0.02539      0.02165
 1297.35202     -29.76558     -46.81398     -0.01024      0.02127
 1297.37246     -29.74514     -46.79354      0.01353      0.02154
 1297.39289     -29.72471     -46.77311     -0.01507      0.02096
 1297.41332     -29.70428     -46.75268     -0.00505      0.02228
 1297.43376     -29.68384     -46.73224     -0.02890      0.02116
 1297.45419     -29.66341     -46.71181     -0.02405      0.02131
 1297.47463     -29.64297     -46.69137      0.00018      0.02107
 1297.49506     -29.62254     -46.67094     -0.00509      0.02239
 1297.51549     -29.60211     -46.65051     -0.00514      0.02237
 1297.53593     -29.58167     -46.63007      0.00610      0.02285
 1297.55636     -29.56124     -46.60964      0.00817      0.02151
 1297.57680     -29.54080     -46.58920     -0.03136      0.02109
 1297.59723     -29.52037     -46.56877      0.01651      0.02096
 1297.61766     -29.49994     -46.54834     -0.01602      0.02120
 1297.63810     -29.47950     -46.52790      0.00858      0.02118
 1297.65853     -29.45907     -46.50747     -0.03662      0.02092
 1297.67897     -29.43863     -46.48703     -0.01309      0.02654
 1297.69940     -29.41820     -46.46660      0.00586      0.02480
 1297.71983     -29.39777     -46.44617      0.02483      0.02091
 1297.74027     -29.37733     -46.42573     -0.03029      0.02161
 1297.76070     -29.35690     -46.40530      0.02621      0.02111
 1297.78114     -29.33646     -46.38486      0.03003      0.02195
 1297.80157     -29.31603     -46.36443     -0.01816      0.02671
 1297.82201     -29.29559     -46.34399     -0.00261      0.02169
 1297.84244     -29.27516     -46.32356     -0.00656      0.02237
 1297.86287     -29.25473     -46.30313      0.01485      0.02170
 1297.88331     -29.23429     -46.28269      0.00962      0.02113
 1297.90374     -29.21386     -46.26226     -0.05141      0.02156
 1297.92418     -29.19342     -46.24182      0.00391      0.02140
 1297.94461     -29.17299     -46.22139      0.04694      0.02109
